complex,adjustment,param_value,time,ATP
Complex V,0.15,22.6395,1.4131184104122e-07,4.40758633763899e-06
Complex V,0.15,22.6395,1.45198762678563e-07,5.83118525537396e-06
Complex V,0.15,22.6395,1.49085684315906e-07,7.24585785314248e-06
Complex V,0.15,22.6395,1.50743385006969e-07,2.0659552242446e-05
Complex V,0.15,22.6395,1.52401085698032e-07,3.32778592279691e-05
Complex V,0.15,22.6395,1.54058786389096e-07,4.51279189035556e-05
Complex V,0.15,22.6395,1.55716487080159e-07,7.24925381167032e-05
Complex V,0.15,22.6395,1.62714477828822e-07,7.98830998949132e-05
Complex V,0.15,22.6395,1.69712468577485e-07,8.69172546195117e-05
Complex V,0.15,22.6395,1.76710459326149e-07,9.36037458072254e-05
Complex V,0.15,22.6395,1.99135547896264e-07,9.9955202306594e-05
Complex V,0.15,22.6395,2.21560636466379e-07,0.000131540330037486
Complex V,0.15,22.6395,2.43985725036494e-07,0.000154454698842915
Complex V,0.15,22.6395,2.66410813606609e-07,0.000170581471782294
Complex V,0.15,22.6395,3.12647403776984e-07,0.00018149717390757
Complex V,0.15,22.6395,3.58883993947359e-07,0.00019110164286104
Complex V,0.15,22.6395,4.05120584117734e-07,0.000193626459919869
Complex V,0.15,22.6395,4.51357174288109e-07,0.000191875561976493
Complex V,0.15,22.6395,4.97593764458484e-07,0.000187509682816872
Complex V,0.15,22.6395,5.64618398960261e-07,0.000181554922166329
Complex V,0.15,22.6395,6.31643033462038e-07,0.000169681678132503
Complex V,0.15,22.6395,6.98667667963816e-07,0.000157235383816918
Complex V,0.15,22.6395,7.65692302465593e-07,0.000145162163789812
Complex V,0.15,22.6395,8.3271693696737e-07,0.000133773301571451
Complex V,0.15,22.6395,9.02080602259131e-07,0.000123164369187475
Complex V,0.15,22.6395,9.71444267550891e-07,0.000109683611192456
Complex V,0.15,22.6395,1.04080793284265e-06,9.77777681822397e-05
Complex V,0.15,22.6395,1.11017159813441e-06,8.73166104417521e-05
Complex V,0.15,22.6395,1.17953526342617e-06,7.81300440663561e-05
Complex V,0.15,22.6395,1.29275055143368e-06,7.00609766694682e-05
Complex V,0.15,22.6395,1.40596583944119e-06,6.68850882954198e-05
Complex V,0.15,22.6395,1.5191811274487e-06,6.38837497606874e-05
Complex V,0.15,22.6395,1.63239641545621e-06,6.10478054759414e-05
Complex V,0.15,22.6395,1.74561170346373e-06,6.02278771268012e-05
Complex V,0.15,22.6395,1.99146385372603e-06,5.94217332484054e-05
Complex V,0.15,22.6395,2.23731600398833e-06,5.86291452662772e-05
Complex V,0.15,22.6395,2.48316815425064e-06,5.78498901695269e-05
Complex V,0.15,22.6395,2.72902030451294e-06,5.70837452915462e-05
Complex V,0.15,22.6395,2.97487245477525e-06,5.57051291825228e-05
Complex V,0.15,22.6395,3.47955056656131e-06,5.4368923826973e-05
Complex V,0.15,22.6395,3.98422867834737e-06,5.3073858859757e-05
Complex V,0.15,22.6395,4.48890679013343e-06,5.18186689120175e-05
Complex V,0.15,22.6395,4.99358490191949e-06,5.00809929664715e-05
Complex V,0.15,22.6395,5.49826301370555e-06,4.84197115488097e-05
Complex V,0.15,22.6395,6.82678126756533e-06,4.6831497094079e-05
Complex V,0.15,22.6395,8.15529952142512e-06,4.53131283550984e-05
Complex V,0.15,22.6395,9.48381777528491e-06,3.95562171589957e-05
Complex V,0.15,22.6395,1.08123360291447e-05,3.80328870694833e-05
Complex V,0.15,22.6395,1.21408542830045e-05,3.65946818840412e-05
Complex V,0.15,22.6395,1.61119667558821e-05,3.52369331545019e-05
Complex V,0.15,22.6395,1.73033004977454e-05,3.48446051267027e-05
Complex V,0.15,22.6395,1.84946342396087e-05,3.44589869900607e-05
Complex V,0.15,22.6395,1.9685967981472e-05,3.43445927632716e-05
Complex V,0.15,22.6395,2.0043368104031e-05,3.42307891246353e-05
Complex V,0.15,22.6395,2.040076822659e-05,3.41175729999428e-05
Complex V,0.15,22.6395,2.06795158182553e-05,3.40837222677372e-05
Complex V,0.15,22.6395,2.07631400957549e-05,3.40499240532651e-05
Complex V,0.15,22.6395,2.08467643732544e-05,3.40161782757815e-05
Complex V,0.15,22.6395,2.0930388650754e-05,3.40152678660469e-05
Complex V,0.15,22.6395,2.09554759340039e-05,3.40149947505692e-05
Complex V,0.15,22.6395,2.09805632172538e-05,3.40147216385265e-05
Complex V,0.15,22.6395,2.10056505005037e-05,3.40144485299185e-05
Complex V,0.15,22.6395,2.10131766854786e-05,3.40141754247457e-05
Complex V,0.15,22.6395,2.10207028704536e-05,3.40139023230074e-05
Complex V,0.15,22.6395,2.10282290554286e-05,3.40137111307212e-05
Complex V,0.15,22.6395,2.1030486910921e-05,3.40135199401184e-05
Complex V,0.15,22.6395,2.10327447664135e-05,3.40133287511986e-05
Complex V,0.15,22.6395,2.1035002621906e-05,3.40132713948511e-05
Complex V,0.15,22.6395,2.10356799785538e-05,3.40132140386551e-05
Complex V,0.15,22.6395,2.10363573352015e-05,3.40131566826107e-05
Complex V,0.15,22.6395,2.10370346918493e-05,3.40130993267179e-05
Complex V,0.15,22.6395,2.1037712048497e-05,3.40129272599478e-05
Complex V,0.15,22.6395,2.10379152554913e-05,3.40127551945412e-05
Complex V,0.15,22.6395,2.10381184624857e-05,3.4012583130498e-05
Complex V,0.15,22.6395,2.103832166948e-05,3.40124110678184e-05
Complex V,0.15,22.6395,2.10383826315783e-05,3.40118948879602e-05
Complex V,0.15,22.6395,2.10384435936766e-05,3.4011378720373e-05
Complex V,0.15,22.6395,2.10385045557749e-05,3.40108625650566e-05
Complex V,0.15,22.6395,2.10385655178732e-05,3.40103464220103e-05
Complex V,0.15,22.6395,2.10385838065027e-05,3.40087980664901e-05
Complex V,0.15,22.6395,2.10386020951322e-05,3.40072498213931e-05
Complex V,0.15,22.6395,2.10386203837616e-05,3.40057016867113e-05
Complex V,0.15,22.6395,2.10386258703505e-05,3.4005237267837e-05
Complex V,0.15,22.6395,2.10386313569393e-05,3.40047728588993e-05
Complex V,0.15,22.6395,2.10386368435282e-05,3.40043084598976e-05
Complex V,0.15,22.6395,2.1038642330117e-05,3.4003844070832e-05
Complex V,0.15,22.6395,2.10386439760937e-05,3.40024509632483e-05
Complex V,0.15,22.6395,2.10386444698867e-05,3.40010579450809e-05
Complex V,0.15,22.6395,2.10386449636797e-05,3.39996650163242e-05
Complex V,0.15,22.6395,2.10386454574727e-05,3.39982721769723e-05
Complex V,0.15,22.6395,2.10386459512657e-05,3.39843517008843e-05
Complex V,0.15,22.6395,2.10386460994036e-05,3.3970439996298e-05
Complex V,0.15,22.6395,2.10386462475415e-05,3.39565371917292e-05
Complex V,0.2,30.186,0,0
Complex V,0.2,30.186,9.88731394267737e-08,4.09220016753508e-07
Complex V,0.2,30.186,1.07771721975183e-07,8.17734400389018e-07
Complex V,0.2,30.186,1.16670304523593e-07,1.22552937104602e-06
Complex V,0.2,30.186,1.25568887072003e-07,1.81051444279398e-06
Complex V,0.2,30.186,1.3149690323794e-07,2.3940238370399e-06
Complex V,0.2,30.186,1.37424919403877e-07,2.97605150546088e-06
Complex V,0.2,30.186,1.4131184104122e-07,4.41497072316384e-06
Complex V,0.2,30.186,1.45198762678563e-07,5.84494493890713e-06
